,n_genes,dataset
"""ASGR1pos304_7_78""",978,human_liver_2019
"""ASGR1pos304_7_80""",459,human_liver_2019
"""ASGR1pos304_7_81""",649,human_liver_2019
"""ASGR1pos304_7_83""",2338,human_liver_2019
"""ASGR1pos304_7_84""",687,human_liver_2019
"""ASGR1pos304_7_85""",472,human_liver_2019
"""ASGR1pos304_7_89""",1567,human_liver_2019
"""ASGR1pos304_7_93""",738,human_liver_2019
"""ASGR1pos304_7_94""",557,human_liver_2019
"""ASGR1pos304_7_95""",2149,human_liver_2019
"""ASGR1pos304_7_96""",2593,human_liver_2019
"""ASGR1pos304_8_101""",1433,human_liver_2019
"""ASGR1pos304_8_103""",796,human_liver_2019
"""ASGR1pos304_8_105""",1988,human_liver_2019
"""ASGR1pos304_8_108""",391,human_liver_2019
"""ASGR1pos304_8_110""",620,human_liver_2019
"""ASGR1pos304_8_114""",450,human_liver_2019
"""ASGR1pos304_8_123""",2187,human_liver_2019
"""ASGR1pos304_8_127""",1032,human_liver_2019
"""ASGR1pos304_8_129""",893,human_liver_2019
"""ASGR1pos304_8_135""",1693,human_liver_2019
"""ASGR1pos304_8_137""",3050,human_liver_2019
"""ASGR1pos304_8_141""",1880,human_liver_2019
"""ASGR1pos304_8_146""",908,human_liver_2019
"""ASGR1pos304_8_150""",2161,human_liver_2019
"""ASGR1pos304_8_153""",771,human_liver_2019
"""ASGR1pos304_8_155""",722,human_liver_2019
"""ASGR1pos304_8_165""",1859,human_liver_2019
"""ASGR1pos304_8_168""",530,human_liver_2019
"""ASGR1pos304_8_173""",922,human_liver_2019
"""ASGR1pos304_8_177""",766,human_liver_2019
"""ASGR1pos304_8_180""",1527,human_liver_2019
"""ASGR1pos304_8_181""",1244,human_liver_2019
"""ASGR1pos304_8_183""",707,human_liver_2019
"""ASGR1pos304_8_185""",897,human_liver_2019
"""ASGR1pos304_8_186""",1602,human_liver_2019
"""ASGR1pos304_8_188""",1261,human_liver_2019
"""ASGR1pos308_10_98""",2366,human_liver_2019
"""ASGR1pos308_10_99""",639,human_liver_2019
"""ASGR1pos308_10_101""",1075,human_liver_2019
"""ASGR1pos308_10_103""",1972,human_liver_2019
"""ASGR1pos308_10_104""",653,human_liver_2019
"""ASGR1pos308_10_105""",665,human_liver_2019
"""ASGR1pos308_10_106""",844,human_liver_2019
"""ASGR1pos308_10_107""",608,human_liver_2019
"""ASGR1pos308_10_108""",990,human_liver_2019
"""ASGR1pos308_10_109""",833,human_liver_2019
"""ASGR1pos308_10_110""",1041,human_liver_2019
"""ASGR1pos308_10_112""",2158,human_liver_2019
"""ASGR1pos308_10_113""",2223,human_liver_2019
"""ASGR1pos308_10_114""",1248,human_liver_2019
"""ASGR1pos308_10_115""",2245,human_liver_2019
"""ASGR1pos308_10_116""",602,human_liver_2019
"""ASGR1pos308_10_117""",504,human_liver_2019
"""ASGR1pos308_10_119""",1024,human_liver_2019
"""ASGR1pos308_10_120""",723,human_liver_2019
"""ASGR1pos308_10_121""",628,human_liver_2019
"""ASGR1pos308_10_122""",1184,human_liver_2019
"""ASGR1pos308_10_124""",352,human_liver_2019
"""ASGR1pos308_10_125""",1634,human_liver_2019
"""ASGR1pos308_10_126""",2385,human_liver_2019
"""ASGR1pos308_10_127""",865,human_liver_2019
"""ASGR1pos308_10_128""",835,human_liver_2019
"""ASGR1pos308_10_129""",1800,human_liver_2019
"""ASGR1pos308_10_130""",525,human_liver_2019
"""ASGR1pos308_10_132""",462,human_liver_2019
"""ASGR1pos308_10_135""",951,human_liver_2019
"""ASGR1pos308_10_136""",708,human_liver_2019
"""ASGR1pos308_10_137""",2078,human_liver_2019
"""ASGR1pos308_10_138""",1104,human_liver_2019
"""ASGR1pos308_10_139""",820,human_liver_2019
"""ASGR1pos308_10_140""",738,human_liver_2019
"""ASGR1pos308_10_141""",1875,human_liver_2019
"""ASGR1pos308_10_145""",433,human_liver_2019
"""ASGR1pos308_10_146""",1055,human_liver_2019
"""ASGR1pos308_10_151""",774,human_liver_2019
"""ASGR1pos308_10_152""",943,human_liver_2019
"""ASGR1pos308_10_153""",1858,human_liver_2019
"""ASGR1pos308_10_154""",351,human_liver_2019
"""ASGR1pos308_10_155""",562,human_liver_2019
"""ASGR1pos308_10_157""",1827,human_liver_2019
"""ASGR1pos308_10_158""",983,human_liver_2019
"""ASGR1pos308_10_159""",739,human_liver_2019
"""ASGR1pos308_10_161""",843,human_liver_2019
"""ASGR1pos308_10_163""",1115,human_liver_2019
"""ASGR1pos308_10_164""",708,human_liver_2019
"""ASGR1pos308_10_165""",701,human_liver_2019
"""ASGR1pos308_10_167""",1331,human_liver_2019
"""ASGR1pos308_10_169""",1422,human_liver_2019
"""ASGR1pos308_10_171""",416,human_liver_2019
"""ASGR1pos308_10_173""",693,human_liver_2019
"""ASGR1pos308_10_175""",777,human_liver_2019
"""ASGR1pos308_10_176""",554,human_liver_2019
"""ASGR1pos308_10_177""",2362,human_liver_2019
