,gene_name,dataset
328,Col4a3,old_10X_cruk_changed_buffer
329,C430014B12Rik,old_10X_cruk_changed_buffer
330,Mff,old_10X_cruk_changed_buffer
331,Gm28941,old_10X_cruk_changed_buffer
332,Agfg1,old_10X_cruk_changed_buffer
333,A030005L19Rik,old_10X_cruk_changed_buffer
334,Pid1,old_10X_cruk_changed_buffer
335,Trip12,old_10X_cruk_changed_buffer
336,Fbxo36,old_10X_cruk_changed_buffer
337,C130026I21Rik,old_10X_cruk_changed_buffer
338,A530040E14Rik,old_10X_cruk_changed_buffer
339,G530012D18Rik,old_10X_cruk_changed_buffer
340,Sp110,old_10X_cruk_changed_buffer
341,Sp140,old_10X_cruk_changed_buffer
342,Sp100,old_10X_cruk_changed_buffer
343,A630001G21Rik,old_10X_cruk_changed_buffer
344,Cab39,old_10X_cruk_changed_buffer
345,Itm2c,old_10X_cruk_changed_buffer
346,2810459M11Rik,old_10X_cruk_changed_buffer
347,Psmd1,old_10X_cruk_changed_buffer
348,Armc9,old_10X_cruk_changed_buffer
349,B3gnt7,old_10X_cruk_changed_buffer
350,Ncl,old_10X_cruk_changed_buffer
351,C130036L24Rik,old_10X_cruk_changed_buffer
352,Ptma,old_10X_cruk_changed_buffer
353,Pde6d,old_10X_cruk_changed_buffer
354,Cops7b,old_10X_cruk_changed_buffer
355,Dis3l2,old_10X_cruk_changed_buffer
356,Eif4e2,old_10X_cruk_changed_buffer
357,Gigyf2,old_10X_cruk_changed_buffer
358,Kcnj13,old_10X_cruk_changed_buffer
359,Ngef,old_10X_cruk_changed_buffer
360,Neu2,old_10X_cruk_changed_buffer
361,Inpp5d,old_10X_cruk_changed_buffer
362,Atg16l1,old_10X_cruk_changed_buffer
363,Sag,old_10X_cruk_changed_buffer
364,Dgkd,old_10X_cruk_changed_buffer
365,Usp40,old_10X_cruk_changed_buffer
366,Gm20528,old_10X_cruk_changed_buffer
367,Ugt1a9,old_10X_cruk_changed_buffer
368,Ugt1a7c,old_10X_cruk_changed_buffer
369,Ugt1a6b,old_10X_cruk_changed_buffer
370,Ugt1a6a,old_10X_cruk_changed_buffer
371,Ugt1a5,old_10X_cruk_changed_buffer
372,Ugt1a2,old_10X_cruk_changed_buffer
373,Ugt1a1,old_10X_cruk_changed_buffer
374,Mroh2a,old_10X_cruk_changed_buffer
375,Hjurp,old_10X_cruk_changed_buffer
376,Trpm8,old_10X_cruk_changed_buffer
377,Spp2,old_10X_cruk_changed_buffer
378,Arl4c,old_10X_cruk_changed_buffer
379,Agap1,old_10X_cruk_changed_buffer
380,Cops8,old_10X_cruk_changed_buffer
381,Col6a3,old_10X_cruk_changed_buffer
382,Mlph,old_10X_cruk_changed_buffer
383,Rab17,old_10X_cruk_changed_buffer
384,Lrrfip1,old_10X_cruk_changed_buffer
385,Ramp1,old_10X_cruk_changed_buffer
386,Ube2f,old_10X_cruk_changed_buffer
387,Scly,old_10X_cruk_changed_buffer
388,Espnl,old_10X_cruk_changed_buffer
389,Ilkap,old_10X_cruk_changed_buffer
390,Hes6,old_10X_cruk_changed_buffer
391,Per2,old_10X_cruk_changed_buffer
392,Traf3ip1,old_10X_cruk_changed_buffer
393,Asb1,old_10X_cruk_changed_buffer
394,Hdac4,old_10X_cruk_changed_buffer
395,Ndufa10,old_10X_cruk_changed_buffer
396,Cops9,old_10X_cruk_changed_buffer
397,Gpc1,old_10X_cruk_changed_buffer
398,Gm29480,old_10X_cruk_changed_buffer
399,Dusp28,old_10X_cruk_changed_buffer
400,5033417F24Rik,old_10X_cruk_changed_buffer
401,Rnpepl1,old_10X_cruk_changed_buffer
402,9430060I03Rik,old_10X_cruk_changed_buffer
403,Capn10,old_10X_cruk_changed_buffer
404,Kif1a,old_10X_cruk_changed_buffer
405,Gm28086,old_10X_cruk_changed_buffer
406,Agxt,old_10X_cruk_changed_buffer
407,Mab21l4,old_10X_cruk_changed_buffer
408,Sned1,old_10X_cruk_changed_buffer
409,Mterf4,old_10X_cruk_changed_buffer
410,Pask,old_10X_cruk_changed_buffer
411,Ppp1r7,old_10X_cruk_changed_buffer
412,Hdlbp,old_10X_cruk_changed_buffer
413,Sept2,old_10X_cruk_changed_buffer
414,Farp2,old_10X_cruk_changed_buffer
415,Stk25,old_10X_cruk_changed_buffer
416,Bok,old_10X_cruk_changed_buffer
417,Thap4,old_10X_cruk_changed_buffer
418,Atg4b,old_10X_cruk_changed_buffer
419,Dtymk,old_10X_cruk_changed_buffer
420,Ing5,old_10X_cruk_changed_buffer
421,D2hgdh,old_10X_cruk_changed_buffer
422,Fam174a,old_10X_cruk_changed_buffer
423,St8sia4,old_10X_cruk_changed_buffer
424,D1Ertd622e,old_10X_cruk_changed_buffer
425,Ppip5k2,old_10X_cruk_changed_buffer
426,Gin1,old_10X_cruk_changed_buffer
427,Pam,old_10X_cruk_changed_buffer
