,gene_name,dataset
402,Fosb,snRNAseq2_old_buffer
403,Klc4,snRNAseq2_old_buffer
404,Ercc1,snRNAseq2_old_buffer
405,As3mt,snRNAseq2_old_buffer
406,Homer3,snRNAseq2_old_buffer
407,Crtc1,snRNAseq2_old_buffer
408,Sec14l2,snRNAseq2_old_buffer
409,Aven,snRNAseq2_old_buffer
410,Rps6ka1,snRNAseq2_old_buffer
411,Calb2,snRNAseq2_old_buffer
412,Kpna6,snRNAseq2_old_buffer
413,Man1a,snRNAseq2_old_buffer
414,Itpkc,snRNAseq2_old_buffer
415,Coq8b,snRNAseq2_old_buffer
416,Brd8,snRNAseq2_old_buffer
417,Kif20a,snRNAseq2_old_buffer
418,Farsa,snRNAseq2_old_buffer
419,Gcdh,snRNAseq2_old_buffer
420,Mast2,snRNAseq2_old_buffer
421,Dnase2a,snRNAseq2_old_buffer
422,Rad23a,snRNAseq2_old_buffer
423,Calr,snRNAseq2_old_buffer
424,Syce2,snRNAseq2_old_buffer
425,Nfat5,snRNAseq2_old_buffer
426,Nqo1,snRNAseq2_old_buffer
427,Ppfia3,snRNAseq2_old_buffer
428,Gys1,snRNAseq2_old_buffer
429,Ruvbl2,snRNAseq2_old_buffer
430,Bax,snRNAseq2_old_buffer
431,Zfp81,snRNAseq2_old_buffer
432,Efnb3,snRNAseq2_old_buffer
433,Mmd,snRNAseq2_old_buffer
434,Hlf,snRNAseq2_old_buffer
435,Fam162a,snRNAseq2_old_buffer
436,Grm3,snRNAseq2_old_buffer
437,Gstm7,snRNAseq2_old_buffer
438,Gstm3,snRNAseq2_old_buffer
439,Stat3,snRNAseq2_old_buffer
440,Stat5a,snRNAseq2_old_buffer
441,Cavin1,snRNAseq2_old_buffer
442,Map3k11,snRNAseq2_old_buffer
443,Akt2,snRNAseq2_old_buffer
444,Dnaja3,snRNAseq2_old_buffer
445,Hmox2,snRNAseq2_old_buffer
446,Cdip1,snRNAseq2_old_buffer
447,Map3k20,snRNAseq2_old_buffer
448,Col5a3,snRNAseq2_old_buffer
449,Dnmt1,snRNAseq2_old_buffer
450,Ppan,snRNAseq2_old_buffer
451,Angptl2,snRNAseq2_old_buffer
452,Cacna1b,snRNAseq2_old_buffer
453,Kifc2,snRNAseq2_old_buffer
454,Psap,snRNAseq2_old_buffer
455,Ikbkg,snRNAseq2_old_buffer
456,Pax2,snRNAseq2_old_buffer
457,Phb2,snRNAseq2_old_buffer
458,Ptpn6,snRNAseq2_old_buffer
459,Eno2,snRNAseq2_old_buffer
460,Emg1,snRNAseq2_old_buffer
461,Lpcat3,snRNAseq2_old_buffer
462,Atp6v1f,snRNAseq2_old_buffer
463,Il12b,snRNAseq2_old_buffer
464,Clcn5,snRNAseq2_old_buffer
465,Hif3a,snRNAseq2_old_buffer
466,Gpx5,snRNAseq2_old_buffer
467,Pde1c,snRNAseq2_old_buffer
468,Utp20,snRNAseq2_old_buffer
469,Spic,snRNAseq2_old_buffer
470,Cul3,snRNAseq2_old_buffer
471,Il11,snRNAseq2_old_buffer
472,Large1,snRNAseq2_old_buffer
473,Ddx56,snRNAseq2_old_buffer
474,Tmed4,snRNAseq2_old_buffer
475,Col26a1,snRNAseq2_old_buffer
476,Bid,snRNAseq2_old_buffer
