,n_genes,dataset
do20739,2045,snRNAseq2
do20740,3675,snRNAseq2
do20741,682,snRNAseq2
do20742,3124,snRNAseq2
do20743,3589,snRNAseq2
do20744,1689,snRNAseq2
do20745,3853,snRNAseq2
do20746,1303,snRNAseq2
do20747,1212,snRNAseq2
do20748,3281,snRNAseq2
do20749,2779,snRNAseq2
do20750,3914,snRNAseq2
do20751,5190,snRNAseq2
do20752,4143,snRNAseq2
do20753,916,snRNAseq2
do20754,1219,snRNAseq2
do20755,3979,snRNAseq2
do20756,3578,snRNAseq2
do20757,4600,snRNAseq2
do20758,483,snRNAseq2
do20759,3441,snRNAseq2
do20760,4598,snRNAseq2
do20761,1113,snRNAseq2
do20762,3424,snRNAseq2
do20763,2372,snRNAseq2
do20764,3183,snRNAseq2
do20765,1415,snRNAseq2
do20766,1417,snRNAseq2
do20767,4447,snRNAseq2
do20768,2975,snRNAseq2
do20769,1004,snRNAseq2
do20770,4226,snRNAseq2
do20771,3621,snRNAseq2
do20772,4577,snRNAseq2
do20773,3365,snRNAseq2
do20774,434,snRNAseq2
do20775,3613,snRNAseq2
do20776,3404,snRNAseq2
do20777,1807,snRNAseq2
do20778,3150,snRNAseq2
do20779,2123,snRNAseq2
do20780,2773,snRNAseq2
do20781,3594,snRNAseq2
do20782,2683,snRNAseq2
do20783,4654,snRNAseq2
do20784,2874,snRNAseq2
do20785,2465,snRNAseq2
do20786,1363,snRNAseq2
do20787,2924,snRNAseq2
do20788,3785,snRNAseq2
do20789,3223,snRNAseq2
do20790,756,snRNAseq2
do20791,2291,snRNAseq2
do20792,6736,snRNAseq2
do20793,1078,snRNAseq2
do20794,1076,snRNAseq2
do20795,2006,snRNAseq2
do20796,1573,snRNAseq2
do20797,3189,snRNAseq2
do20798,2371,snRNAseq2
do20799,3775,snRNAseq2
do20800,4373,snRNAseq2
do20801,3694,snRNAseq2
do20802,3632,snRNAseq2
do20803,4243,snRNAseq2
do20804,1948,snRNAseq2
do20805,2896,snRNAseq2
do20806,2821,snRNAseq2
do20807,2156,snRNAseq2
do20808,2815,snRNAseq2
do20809,2660,snRNAseq2
do20810,2651,snRNAseq2
do20811,3815,snRNAseq2
do20812,3320,snRNAseq2
do20813,2808,snRNAseq2
do20814,1659,snRNAseq2
do20815,2838,snRNAseq2
do20816,4478,snRNAseq2
do20817,4436,snRNAseq2
do20818,4149,snRNAseq2
do20819,3751,snRNAseq2
do20820,2595,snRNAseq2
do20821,2676,snRNAseq2
do20822,1581,snRNAseq2
do20823,1054,snRNAseq2
do20824,2223,snRNAseq2
do20825,1521,snRNAseq2
do20826,4103,snRNAseq2
do20827,2804,snRNAseq2
do20828,2778,snRNAseq2
do20829,3236,snRNAseq2
do20830,2948,snRNAseq2
do20831,2592,snRNAseq2
do20832,4792,snRNAseq2
do20833,4242,snRNAseq2
do20834,3757,snRNAseq2
do20835,3827,snRNAseq2
do20836,2194,snRNAseq2
do20837,3551,snRNAseq2
do20838,1634,snRNAseq2
do20839,1846,snRNAseq2
do20840,594,snRNAseq2
do20841,973,snRNAseq2
do20842,898,snRNAseq2
do20843,2423,snRNAseq2
do20844,3461,snRNAseq2
do20845,3257,snRNAseq2
do20846,2268,snRNAseq2
do20847,2576,snRNAseq2
do20848,2475,snRNAseq2
do20849,3268,snRNAseq2
do20850,584,snRNAseq2
do20851,2531,snRNAseq2
do20852,432,snRNAseq2
do20853,3409,snRNAseq2
do20854,2714,snRNAseq2
do20855,3392,snRNAseq2
do20856,2035,snRNAseq2
do20857,3118,snRNAseq2
do20858,3382,snRNAseq2
do20859,3302,snRNAseq2
do20860,2360,snRNAseq2
do20861,3694,snRNAseq2
do20862,3088,snRNAseq2
do20863,1186,snRNAseq2
do20864,4567,snRNAseq2
do20865,4197,snRNAseq2
do20866,4434,snRNAseq2
do20867,3157,snRNAseq2
do20868,3082,snRNAseq2
do20869,1488,snRNAseq2
do20870,4467,snRNAseq2
do20871,3288,snRNAseq2
do20872,2953,snRNAseq2
do20873,1029,snRNAseq2
do20874,2063,snRNAseq2
do20875,2980,snRNAseq2
do20876,2756,snRNAseq2
do20877,1039,snRNAseq2
do20878,2360,snRNAseq2
do20879,2702,snRNAseq2
do20880,2317,snRNAseq2
do20881,4682,snRNAseq2
do20882,4365,snRNAseq2
do20883,4186,snRNAseq2
do20884,1178,snRNAseq2
do20885,1256,snRNAseq2
do20886,4428,snRNAseq2
do20887,3317,snRNAseq2
do20888,3546,snRNAseq2
do20889,3500,snRNAseq2
do20890,1582,snRNAseq2
do20891,3090,snRNAseq2
do20892,2870,snRNAseq2
do20893,2846,snRNAseq2
do20894,3054,snRNAseq2
do20895,2851,snRNAseq2
do20896,2653,snRNAseq2
do20897,2270,snRNAseq2
do20898,4340,snRNAseq2
do20899,4225,snRNAseq2
do20900,1053,snRNAseq2
do20901,4269,snRNAseq2
do20902,4634,snRNAseq2
do20903,1294,snRNAseq2
do20904,3580,snRNAseq2
do20905,3013,snRNAseq2
do20906,1239,snRNAseq2
do20907,3446,snRNAseq2
do20908,3171,snRNAseq2
do20909,2987,snRNAseq2
do20910,3081,snRNAseq2
do20911,4235,snRNAseq2
do20912,3037,snRNAseq2
do20913,4133,snRNAseq2
do20914,2886,snRNAseq2
do20915,3586,snRNAseq2
do20916,3738,snRNAseq2
do20917,2674,snRNAseq2
do20918,1141,snRNAseq2
do20919,1972,snRNAseq2
do20920,2802,snRNAseq2
do20921,3514,snRNAseq2
do20922,3021,snRNAseq2
do20923,3578,snRNAseq2
do20924,2773,snRNAseq2
do20925,2953,snRNAseq2
do20926,927,snRNAseq2
do20927,3998,snRNAseq2
do20928,4011,snRNAseq2
do20929,1761,snRNAseq2
do20930,3604,snRNAseq2
do20931,4525,snRNAseq2
do20932,3586,snRNAseq2
do20933,4439,snRNAseq2
do20934,2638,snRNAseq2
do20935,3263,snRNAseq2
do20936,1319,snRNAseq2
do20937,4387,snRNAseq2
do20938,1098,snRNAseq2
do20939,3577,snRNAseq2
do20940,3447,snRNAseq2
do20941,2115,snRNAseq2
do20942,2411,snRNAseq2
do20943,1712,snRNAseq2
do20944,4332,snRNAseq2
do20945,5400,snRNAseq2
do20946,4781,snRNAseq2
do20947,4621,snRNAseq2
do20948,4296,snRNAseq2
do20949,3539,snRNAseq2
do20950,4208,snRNAseq2
do20951,1625,snRNAseq2
do20952,2496,snRNAseq2
do20953,3369,snRNAseq2
do20954,3228,snRNAseq2
do20955,2207,snRNAseq2
do20956,3672,snRNAseq2
do20957,2992,snRNAseq2
do20958,1029,snRNAseq2
do20959,4575,snRNAseq2
do20960,4331,snRNAseq2
do20961,4474,snRNAseq2
do20962,4215,snRNAseq2
do20963,2175,snRNAseq2
do20964,3100,snRNAseq2
do20965,3745,snRNAseq2
do20966,2884,snRNAseq2
do20967,832,snRNAseq2
do20968,1856,snRNAseq2
do20969,1524,snRNAseq2
do20970,2630,snRNAseq2
do20971,4111,snRNAseq2
do20972,3310,snRNAseq2
do20973,2549,snRNAseq2
do20974,1129,snRNAseq2
do20975,4096,snRNAseq2
do20976,4991,snRNAseq2
do20977,5438,snRNAseq2
do20978,4997,snRNAseq2
do20979,2441,snRNAseq2
do20980,3770,snRNAseq2
do20981,4012,snRNAseq2
do20982,3709,snRNAseq2
do20983,2855,snRNAseq2
do20984,3327,snRNAseq2
do20985,2517,snRNAseq2
do20986,3083,snRNAseq2
do20987,2217,snRNAseq2
do20988,2632,snRNAseq2
do20989,3286,snRNAseq2
do20990,2504,snRNAseq2
do20991,2700,snRNAseq2
do20992,3497,snRNAseq2
do20993,1663,snRNAseq2
do20994,5242,snRNAseq2
do20995,4113,snRNAseq2
do20996,3687,snRNAseq2
do20997,3484,snRNAseq2
do20998,3055,snRNAseq2
do20999,2966,snRNAseq2
do21000,3385,snRNAseq2
do21001,6009,snRNAseq2
do21002,1475,snRNAseq2
do21003,3414,snRNAseq2
do21004,1328,snRNAseq2
do21005,3063,snRNAseq2
do21006,2913,snRNAseq2
do21007,1522,snRNAseq2
do21008,2837,snRNAseq2
do21009,4320,snRNAseq2
do21010,4497,snRNAseq2
do21011,3397,snRNAseq2
do21012,1225,snRNAseq2
do21013,4029,snRNAseq2
do21014,5010,snRNAseq2
do21015,1226,snRNAseq2
do21016,2729,snRNAseq2
do21017,4037,snRNAseq2
do21018,2387,snRNAseq2
do21019,2964,snRNAseq2
do21020,3198,snRNAseq2
do21021,2727,snRNAseq2
do21022,2540,snRNAseq2
do21023,4405,snRNAseq2
do21024,3236,snRNAseq2
do21025,3324,snRNAseq2
do21026,3993,snRNAseq2
do21027,1556,snRNAseq2
do21028,3661,snRNAseq2
