,n_genes,dataset
L12.MAA000907.3_11_M.1.1,1372,tabula_muris_2018_smatseq2
H11.MAA000907.3_11_M.1.1,2955,tabula_muris_2018_smatseq2
J1.MAA000907.3_11_M.1.1,1879,tabula_muris_2018_smatseq2
K6.MAA000907.3_11_M.1.1,1346,tabula_muris_2018_smatseq2
L11.MAA000907.3_11_M.1.1,2034,tabula_muris_2018_smatseq2
M14.MAA000907.3_11_M.1.1,1344,tabula_muris_2018_smatseq2
N17.MAA000907.3_11_M.1.1,2040,tabula_muris_2018_smatseq2
O19.MAA000907.3_11_M.1.1,2373,tabula_muris_2018_smatseq2
M15.MAA000907.3_11_M.1.1,1529,tabula_muris_2018_smatseq2
D17.MAA000907.3_11_M.1.1,2789,tabula_muris_2018_smatseq2
E22.MAA000907.3_11_M.1.1,2742,tabula_muris_2018_smatseq2
G4.MAA000907.3_11_M.1.1,2132,tabula_muris_2018_smatseq2
H13.MAA000907.3_11_M.1.1,1575,tabula_muris_2018_smatseq2
J3.MAA000907.3_11_M.1.1,302,tabula_muris_2018_smatseq2
K8.MAA000907.3_11_M.1.1,2615,tabula_muris_2018_smatseq2
L13.MAA000907.3_11_M.1.1,1779,tabula_muris_2018_smatseq2
M16.MAA000907.3_11_M.1.1,2084,tabula_muris_2018_smatseq2
N19.MAA000907.3_11_M.1.1,2383,tabula_muris_2018_smatseq2
O21.MAA000907.3_11_M.1.1,1277,tabula_muris_2018_smatseq2
N18.MAA000907.3_11_M.1.1,2086,tabula_muris_2018_smatseq2
O20.MAA000907.3_11_M.1.1,2339,tabula_muris_2018_smatseq2
P22.MAA000907.3_11_M.1.1,1634,tabula_muris_2018_smatseq2
L14.MAA000907.3_11_M.1.1,3183,tabula_muris_2018_smatseq2
M17.MAA000907.3_11_M.1.1,1540,tabula_muris_2018_smatseq2
N20.MAA000907.3_11_M.1.1,2100,tabula_muris_2018_smatseq2
O22.MAA000907.3_11_M.1.1,3478,tabula_muris_2018_smatseq2
D20.MAA000907.3_11_M.1.1,2389,tabula_muris_2018_smatseq2
F2.MAA000907.3_11_M.1.1,2528,tabula_muris_2018_smatseq2
G6.MAA000907.3_11_M.1.1,1683,tabula_muris_2018_smatseq2
D18.MAA000907.3_11_M.1.1,2770,tabula_muris_2018_smatseq2
F1.MAA000907.3_11_M.1.1,2543,tabula_muris_2018_smatseq2
G5.MAA000907.3_11_M.1.1,2344,tabula_muris_2018_smatseq2
H14.MAA000907.3_11_M.1.1,1723,tabula_muris_2018_smatseq2
J4.MAA000907.3_11_M.1.1,1172,tabula_muris_2018_smatseq2
K9.MAA000907.3_11_M.1.1,4061,tabula_muris_2018_smatseq2
C19.MAA000907.3_11_M.1.1,1264,tabula_muris_2018_smatseq2
E2.MAA000907.3_11_M.1.1,2314,tabula_muris_2018_smatseq2
F6.MAA000907.3_11_M.1.1,2884,tabula_muris_2018_smatseq2
G11.MAA000907.3_11_M.1.1,3315,tabula_muris_2018_smatseq2
H20.MAA000907.3_11_M.1.1,2441,tabula_muris_2018_smatseq2
J10.MAA000907.3_11_M.1.1,2189,tabula_muris_2018_smatseq2
K15.MAA000907.3_11_M.1.1,1025,tabula_muris_2018_smatseq2
L19.MAA000907.3_11_M.1.1,2494,tabula_muris_2018_smatseq2
N1.MAA000907.3_11_M.1.1,1451,tabula_muris_2018_smatseq2
O3.MAA000907.3_11_M.1.1,1447,tabula_muris_2018_smatseq2
P5.MAA000907.3_11_M.1.1,1220,tabula_muris_2018_smatseq2
M22.MAA000907.3_11_M.1.1,2411,tabula_muris_2018_smatseq2
O2.MAA000907.3_11_M.1.1,1330,tabula_muris_2018_smatseq2
P4.MAA000907.3_11_M.1.1,2010,tabula_muris_2018_smatseq2
H22.MAA000907.3_11_M.1.1,2653,tabula_muris_2018_smatseq2
J11.MAA000907.3_11_M.1.1,2023,tabula_muris_2018_smatseq2
K17.MAA000907.3_11_M.1.1,1306,tabula_muris_2018_smatseq2
L20.MAA000907.3_11_M.1.1,2737,tabula_muris_2018_smatseq2
N2.MAA000907.3_11_M.1.1,2628,tabula_muris_2018_smatseq2
O4.MAA000907.3_11_M.1.1,2415,tabula_muris_2018_smatseq2
P6.MAA000907.3_11_M.1.1,1896,tabula_muris_2018_smatseq2
C21.MAA000907.3_11_M.1.1,3552,tabula_muris_2018_smatseq2
C20.MAA000907.3_11_M.1.1,2291,tabula_muris_2018_smatseq2
E3.MAA000907.3_11_M.1.1,2593,tabula_muris_2018_smatseq2
F7.MAA000907.3_11_M.1.1,2263,tabula_muris_2018_smatseq2
G15.MAA000907.3_11_M.1.1,2215,tabula_muris_2018_smatseq2
O5.MAA000907.3_11_M.1.1,1558,tabula_muris_2018_smatseq2
P7.MAA000907.3_11_M.1.1,1013,tabula_muris_2018_smatseq2
C22.MAA000907.3_11_M.1.1,1548,tabula_muris_2018_smatseq2
E5.MAA000907.3_11_M.1.1,2443,tabula_muris_2018_smatseq2
E4.MAA000907.3_11_M.1.1,2451,tabula_muris_2018_smatseq2
F9.MAA000907.3_11_M.1.1,202,tabula_muris_2018_smatseq2
G18.MAA000907.3_11_M.1.1,1478,tabula_muris_2018_smatseq2
I2.MAA000907.3_11_M.1.1,1881,tabula_muris_2018_smatseq2
F8.MAA000907.3_11_M.1.1,2552,tabula_muris_2018_smatseq2
G16.MAA000907.3_11_M.1.1,2201,tabula_muris_2018_smatseq2
I1.MAA000907.3_11_M.1.1,2391,tabula_muris_2018_smatseq2
