Mpo	Kupffer cell	Kupffer cell
Vsig4	Kupffer cell	Kupffer cell
Prok2	Kupffer cell	Kupffer cell
Stard5	Kupffer cell	Kupffer cell
Msr1	Kupffer cell	Kupffer cell
Tlr9	Kupffer cell	Kupffer cell
Ppara	Kupffer cell	Kupffer cell
Trem1	Kupffer cell	Kupffer cell
Slc11a1	Kupffer cell	Kupffer cell
Tlr4	Kupffer cell	Kupffer cell
Mmp13	Kupffer cell	Kupffer cell
Cd14	Kupffer cell	Kupffer cell
Chit1	Kupffer cell	Kupffer cell
Osm	Kupffer cell	Kupffer cell
Ppard	Kupffer cell	Kupffer cell
Clec4f	Kupffer cell	Kupffer cell
Adgre1	Kupffer cell	Kupffer cell
Il1b	Kupffer cell	Kupffer cell
Slc40a1	Kupffer cell	Kupffer cell
Timd4	Kupffer cell	Kupffer cell
Mnda	Kupffer cell	Kupffer cell
Slc15a3	Kupffer cell	Kupffer cell
Marco	Kupffer cell	Kupffer cell
Ear2	Kupffer cell	Kupffer cell
Hfe	Kupffer cell	Kupffer cell
Adgre4	Kupffer cell	Kupffer cell
Cd163	Kupffer cell	Kupffer cell
Ccr5	Kupffer cell	Kupffer cell
Clec1b	Kupffer cell	Kupffer cell
Siglecf	Kupffer cell	Kupffer cell
Gpihbp1	Kupffer cell	Kupffer cell
Pltp	Kupffer cell	Kupffer cell
Irf7	Kupffer cell	Kupffer cell
Spic	Kupffer cell	Kupffer cell
Csf1r	Kupffer cell	Kupffer cell
C1qc	Kupffer cell	Kupffer cell
C1qa	Kupffer cell	Kupffer cell
C1qb	Kupffer cell	Kupffer cell
Clec4e	Kupffer cell	Kupffer cell
Stab2	Endothelial cell	Endothelial cell
Clec4g	Endothelial cell	Endothelial cell
Dnase1l3	Endothelial cell	Endothelial cell
Egfl7	Endothelial cell	Endothelial cell
Ehd3	Endothelial cell	Endothelial cell
Igfbp7	Endothelial cell	Endothelial cell
Ptprb	Endothelial cell	Endothelial cell
Fcgr2b	Endothelial cell	Endothelial cell
Cd5l	Kupffer cell	Kupffer cell
Cfp	Kupffer cell	Kupffer cell
Ctsb	Kupffer cell	Kupffer cell
Ctsc	Kupffer cell	Kupffer cell
Fcer1g	Kupffer cell	Kupffer cell
Ly86	Kupffer cell	Kupffer cell
Lyz2	Kupffer cell	Kupffer cell
Mpeg1	Kupffer cell	Kupffer cell
H2-Aa	Dendritic cell	Dendritic cell
H2-Eb1	Dendritic cell	Dendritic cell
H2-Ab1	Dendritic cell	Dendritic cell
Tyrobp	Dendritic cell	Dendritic cell
Pld4	Dendritic cell	Dendritic cell
S100a4	Dendritic cell	Dendritic cell
Ctsh	Dendritic cell	Dendritic cell
Cd74	Dendritic cell	Dendritic cell
Cd74	Dendritic cell	Dendritic cell
Dnajc7	Dendritic cell	Dendritic cell
Pfia4	Dendritic cell	Dendritic cell
Irf8	Dendritic cell	Dendritic cell
Siglech	Dendritic cell	Dendritic cell
Bank1	Lymphocyte	Lymphocyte
Bcl11a	Lymphocyte	Lymphocyte
Bcl2	Lymphocyte	Lymphocyte
Cd22	Lymphocyte	Lymphocyte
Mef2c	Lymphocyte	Lymphocyte
Syk	Lymphocyte	Lymphocyte
Lck	Lymphocyte	Lymphocyte
Pou2f2	Lymphocyte	Lymphocyte
Skap1	Lymphocyte	Lymphocyte
Ccr7	Lymphocyte	Lymphocyte
Ms4a1	Lymphocyte	Lymphocyte
Cd19	Lymphocyte	Lymphocyte
Cd37	Lymphocyte	Lymphocyte
Cd74	Lymphocyte	Lymphocyte
Cd79a	Lymphocyte	Lymphocyte
Cd79b	Lymphocyte	Lymphocyte
Cxcr4	Lymphocyte	Lymphocyte
Ebf1	Lymphocyte	Lymphocyte
Fcer2a	Lymphocyte	Lymphocyte
Fcmr	Lymphocyte	Lymphocyte
Fcrla	Lymphocyte	Lymphocyte
H2-DMb2	Lymphocyte	Lymphocyte
H2-Oa	Lymphocyte	Lymphocyte
H2-Ob	Lymphocyte	Lymphocyte
Ighd	Lymphocyte	Lymphocyte
Ighm	Lymphocyte	Lymphocyte
Iglc2	Lymphocyte	Lymphocyte
Iglc3	Lymphocyte	Lymphocyte
Ly6d	Lymphocyte	Lymphocyte
Pax5	Lymphocyte	Lymphocyte
Ralgps2	Lymphocyte	Lymphocyte
Sell	Lymphocyte	Lymphocyte
Siglecg	Lymphocyte	Lymphocyte
Stk17b	Lymphocyte	Lymphocyte
Vpreb3	Lymphocyte	Lymphocyte
Ccr9	Dendritic cell	Dendritic cell
Cd209a	Dendritic cell	Dendritic cell
Ckb	Dendritic cell	Dendritic cell
Clec10a	Dendritic cell	Dendritic cell
Cst3	Dendritic cell	Dendritic cell
Gm2a	Dendritic cell	Dendritic cell
H2-DMa	Dendritic cell	Dendritic cell
H2-DMb1	Dendritic cell	Dendritic cell
H2afy	Dendritic cell	Dendritic cell
Ifi30	Dendritic cell	Dendritic cell
Lsp1	Dendritic cell	Dendritic cell
Naaa	Dendritic cell	Dendritic cell
Napsa	Dendritic cell	Dendritic cell
Plac8	Dendritic cell	Dendritic cell
Plbd1	Dendritic cell	Dendritic cell
Ppt1	Dendritic cell	Dendritic cell
Rnase6	Dendritic cell	Dendritic cell
Selplg	Dendritic cell	Dendritic cell
Syngr2	Dendritic cell	Dendritic cell
Wdfy4	Dendritic cell	Dendritic cell
Adgrf5	Endothelial cell	Endothelial cell
Aqp1	Endothelial cell	Endothelial cell
Bmp2	Endothelial cell	Endothelial cell
Cldn5	Endothelial cell	Endothelial cell
Clec14a	Endothelial cell	Endothelial cell
Cyp26b1	Endothelial cell	Endothelial cell
Eng	Endothelial cell	Endothelial cell
Epas1	Endothelial cell	Endothelial cell
Fabp4	Endothelial cell	Endothelial cell
Flt1	Endothelial cell	Endothelial cell
Gng11	Endothelial cell	Endothelial cell
Gpihbp1	Endothelial cell	Endothelial cell
Gpr182	Endothelial cell	Endothelial cell
Igfbp4	Endothelial cell	Endothelial cell
Il6st	Endothelial cell	Endothelial cell
Kdr	Endothelial cell	Endothelial cell
Lifr	Endothelial cell	Endothelial cell
Maf	Endothelial cell	Endothelial cell
Nrp1	Endothelial cell	Endothelial cell
Oit3	Endothelial cell	Endothelial cell
Plpp3	Endothelial cell	Endothelial cell
Sepp1	Endothelial cell	Endothelial cell
Sparc	Endothelial cell	Endothelial cell
Timp3	Endothelial cell	Endothelial cell
Tinagl1	Endothelial cell	Endothelial cell
Tm4sf1	Endothelial cell	Endothelial cell
Tspan7	Endothelial cell	Endothelial cell
Acaa1b	Hepatocyte	Hepatocyte
Akr1c6	Hepatocyte	Hepatocyte
Aldob	Hepatocyte	Hepatocyte
Apoc1	Hepatocyte	Hepatocyte
Apoc4	Hepatocyte	Hepatocyte
Bhmt	Hepatocyte	Hepatocyte
Car3	Hepatocyte	Hepatocyte
Cdo1	Hepatocyte	Hepatocyte
Fabp1	Hepatocyte	Hepatocyte
Gnmt	Hepatocyte	Hepatocyte
Gsta3	Hepatocyte	Hepatocyte
Gstm1	Hepatocyte	Hepatocyte
Hpx	Hepatocyte	Hepatocyte
Mgst1	Hepatocyte	Hepatocyte
Mup20	Hepatocyte	Hepatocyte
Phyh	Hepatocyte	Hepatocyte
Rbp4	Hepatocyte	Hepatocyte
Rgn	Hepatocyte	Hepatocyte
Scd1	Hepatocyte	Hepatocyte
